Producer ID,Title,Ref2,Ref,Counties,Category,Actor,Affiliation,Short Name,Website
1,Aiyebo F.C.S. Ltd,,Aiyebo F.C.S. Ltd,Baringo,Producer,Cooperative Society,,Aiyebo,
2,Isaas Multi-Purpose Co-Op. Soc. Ltd,XCD024,XCD24,Baringo,Producer,Cooperative Society,,Isaas,
3,Kabartonjo F.C.S. Ltd,XCD017,XCD17,Baringo,Producer,Cooperative Society,,Kabartonjo,
4,Kapkawa Seretunin F.C.S. Ltd,XCD013,XCD13,Baringo,Producer,Cooperative Society,,Kapkawa Seretunin,
5,Kasok Multi-Purpose F.C.S. Ltd,XCD022,XCD22,Baringo,Producer,Cooperative Society,,Kasok,
6,Kilingot F.C.S. Ltd,XCD014,XCD14,Baringo,Producer,Cooperative Society,,Kilingot,
7,Kituro F.C.S. Ltd,XCD007,XCD07,Baringo,Producer,Cooperative Society,,Kituro,
8,Kurget F.C.S. Ltd,XCD015,XCD15,Baringo,Producer,Cooperative Society,,Kurget,
9,Moiget F.C.S. Ltd,XCD008,XCD08,Baringo,Producer,Cooperative Society,,Moiget,
10,Mosop Bidii F.C.S. Ltd,,Mosop Bidii F.C.S. Ltd,Baringo,Producer,Cooperative Society,,Mosop Bidii,
11,Ngetmoi Multi-Purpose F.C.S. Ltd,XCD019,XCD19,Baringo,Producer,Cooperative Society,,Ngetmoi,
12,Poi F. Co-Op. Soc. Ltd,XCD021,XCD21,Baringo,Producer,Cooperative Society,,Poi,
13,Talai F.C.S. Ltd,XCD012,XCD12,Baringo,Producer,Cooperative Society,,Talai,
14,Tenges F.C.S. Ltd,XCD010,XCD10,Baringo,Producer,Cooperative Society,,Tenges,
15,Tieson C.F.C. Soc. Ltd,XCD016,XCD16,Baringo,Producer,Cooperative Society,,Tieson,
16,Tiriodonin F.C.S. Ltd,,Tiriodonin F.C.S. Ltd,Baringo,Producer,Cooperative Society,,Tiriodonin,
17,Tugen Hills F.C.S. Ltd,XCD001,XCD01,Baringo,Producer,Cooperative Society,,Tugen Hills,
18,Chebich F.C.S. Ltd,XDA033,XDA33,Bungoma,Producer,Cooperative Society,,Chebich,
19,Chenjeni F.C.S Ltd,XDA038,XDA38,Bungoma,Producer,Cooperative Society,,Chenjeni,
20,Chepkube F.C.S. Ltd,XDA004,XDA04,Bungoma,Producer,Cooperative Society,,Chepkube,
21,Cheptais F.C.S. Ltd,XDA022,XDA22,Bungoma,Producer,Cooperative Society,,Cheptais,
22,Chesikaki F.C.S. Ltd,XDA002,XDA02,Bungoma,Producer,Cooperative Society,,Chesikaki,
23,Chwele F.C.S. Ltd,XDA001,XDA01,Bungoma,Producer,Cooperative Society,,Chwele,
24,Kamusinde F.C.S. Ltd,XDA008,XDA08,Bungoma,Producer,Cooperative Society,,Kamusinde,
25,Kapkurungo F.C.S. Ltd,XDA019,XDA19,Bungoma,Producer,Cooperative Society,,Kapkurungo,
26,Kapsakisio F.C.S. Ltd,XDA018,XDA18,Bungoma,Producer,Cooperative Society,,Kapsakisio,
27,Kaptola F.C.S. Ltd,XDA024,XDA24,Bungoma,Producer,Cooperative Society,,Kaptola,
28,Khachonge F.C.S. Ltd,XDA010,XDA10,Bungoma,Producer,Cooperative Society,,Khachonge,
29,Khalaba F.C.S. Ltd,XDA011,XDA11,Bungoma,Producer,Cooperative Society,,Khalaba,
30,Khamulati F.C.S. Ltd,XDA007,XDA07,Bungoma,Producer,Cooperative Society,,Khamulati,
31,Kibingei F.C.S. Ltd,XDA006,XDA06,Bungoma,Producer,Cooperative Society,,Kibingei,
32,Kibisi F.C.S. Ltd,XDA003,XDA03,Bungoma,Producer,Cooperative Society,,Kibisi,
33,Kikai F.C.S. Ltd,XDA023,XDA23,Bungoma,Producer,Cooperative Society,,Kikai,
34,Kituni F.C.S. Ltd,XDA035,XDA35,Bungoma,Producer,Cooperative Society,,Kituni,
